time_et,exchange,price,change,volume,buyer,seller,markers,symbol,date,date_parsed
13:56:11,D,0.29,0.08,300,1 Anonymous,124 Questrade,E,DOCT,20251208,2025-12-08
13:48:14,C,0.29,0.02,2500,7 TD Sec,1 Anonymous,K,DOCT,20251208,2025-12-08
13:25:58,C,0.29,0.02,1000,84 ITG84,57 Interactive,K,DOCT,20251208,2025-12-08
13:12:47,H,0.29,0.02,500,1 Anonymous,80 National Bank,K,DOCT,20251208,2025-12-08
13:12:47,C,0.29,0.02,1000,84 ITG84,80 National Bank,K,DOCT,20251208,2025-12-08
13:00:43,M,0.3,0.03,100,80 National Bank,80 National Bank,E,DOCT,20251208,2025-12-08
12:38:06,C,0.295,0.025,11500,84 ITG84,79 CIBC,K,DOCT,20251208,2025-12-08
12:36:23,M,0.295,0.025,140,80 National Bank,80 National Bank,E,DOCT,20251208,2025-12-08
12:36:23,M,0.29,0.02,2500,80 National Bank,1 Anonymous,,DOCT,20251208,2025-12-08
12:15:20,C,0.295,0.025,1000,84 ITG84,79 CIBC,K,DOCT,20251208,2025-12-08
12:12:30,M,0.285,0.015,28,7 TD Sec,7 TD Sec,E,DOCT,20251208,2025-12-08
12:06:12,M,0.295,0.025,438,80 National Bank,80 National Bank,E,DOCT,20251208,2025-12-08
12:04:36,M,0.295,0.025,52,80 National Bank,80 National Bank,E,DOCT,20251208,2025-12-08
11:37:54,M,0.295,0.025,10,80 National Bank,80 National Bank,E,DOCT,20251208,2025-12-08
11:37:54,M,0.29,0.02,500,80 National Bank,1 Anonymous,,DOCT,20251208,2025-12-08
10:40:22,O,0.295,0.025,5500,85 Scotia,1 Anonymous,K,DOCT,20251208,2025-12-08
10:40:22,O,0.295,0.025,4500,85 Scotia,1 Anonymous,K,DOCT,20251208,2025-12-08
10:32:27,M,0.28,0.01,198,80 National Bank,80 National Bank,E,DOCT,20251208,2025-12-08
10:25:35,M,0.29,0.02,500,124 Questrade,1 Anonymous,,DOCT,20251208,2025-12-08
09:30:00,C,0.3,0.03,10,7 TD Sec,36 Latimer,E,DOCT,20251208,2025-12-08
09:30:00,C,0.3,0.03,400,2 RBC,36 Latimer,E,DOCT,20251208,2025-12-08
09:30:00,D,0.28,0.08,73,80 National Bank,80 National Bank,E,DOCT,20251208,2025-12-08
09:30:00,C,0.3,0.03,1000,2 RBC,33 Canaccord,K,DOCT,20251208,2025-12-08
15:04:31,H,0.39,0.01,1500,84 ITG84,2 RBC,K,DOCT,20251110,2025-11-10
15:04:31,O,0.39,0.01,1000,84 ITG84,2 RBC,K,DOCT,20251110,2025-11-10
15:04:31,C,0.39,0.01,110,36 Latimer,2 RBC,E,DOCT,20251110,2025-11-10
14:59:33,M,0.39,0.01,167,80 National Bank,80 National Bank,E,DOCT,20251110,2025-11-10
13:32:16,M,0.385,0.005,100,7 TD Sec,7 TD Sec,E,DOCT,20251110,2025-11-10
13:29:55,M,0.385,0.005,50,1 Anonymous,1 Anonymous,E,DOCT,20251110,2025-11-10
13:10:06,O,0.39,0.01,500,2 RBC,2 RBC,K,DOCT,20251110,2025-11-10
13:06:32,O,0.39,0.01,500,2 RBC,2 RBC,K,DOCT,20251110,2025-11-10
12:45:06,C,0.39,0.01,1500,84 ITG84,2 RBC,K,DOCT,20251110,2025-11-10
12:30:05,O,0.39,0.01,4500,33 Canaccord,1 Anonymous,K,DOCT,20251110,2025-11-10
12:30:05,O,0.39,0.01,5000,33 Canaccord,1 Anonymous,K,DOCT,20251110,2025-11-10
